fed;slot;oh;vfat;channel
1467;3;6;19;114
1467;3;6;19;119
1467;3;6;19;124
1467;3;6;20;114
1467;3;6;20;123
1467;3;6;21;126
1467;3;6;22;126
1467;3;7;0;50
1467;3;7;0;51
1467;3;7;0;126
1467;3;7;1;126
1467;3;7;2;0
1467;3;7;2;2
1467;3;7;3;2
1467;3;7;4;0
1467;3;7;4;2
1467;3;7;5;0
1467;3;7;5;2
1467;3;7;6;2
1467;3;7;7;0
1467;3;7;7;2
1467;3;7;8;2
1467;3;7;10;2
1467;3;7;12;0
1467;3;7;12;2
1467;3;7;13;0
1467;3;7;14;0
1467;3;7;14;2
1467;3;7;16;2
1467;3;7;17;2
1467;3;7;18;126
1467;3;7;19;126
1467;3;7;20;126
1467;3;7;21;122
1467;3;7;21;125
1467;3;7;21;126
1467;3;7;22;126
1467;3;7;23;126
1467;3;8;0;126
1467;3;8;1;126
1467;3;8;2;2
1467;3;8;4;126
1467;3;8;4;127
1467;3;8;5;0
1467;3;8;5;2
1467;3;8;6;126
1467;3;8;7;2
1467;3;8;10;0
1467;3;8;10;2
1467;3;8;11;31
1467;3;8;12;125
1467;3;8;12;126
1467;3;8;13;0
1467;3;8;13;2
